keyword,avg_monthly_searches,competition,avg_cpc,low_top_of_page_bid,high_top_of_page_bid
3commas,3600,LOW,10.05,3.84,16.26
crypto hopper,2900,LOW,8.75,2.99,14.5
ai crypto trading bot,880,MEDIUM,8.66,3.1,14.21
artificial intelligence crypto trading,720,MEDIUM,10.66,3.95,17.37
cryptocurrency ai trading,720,MEDIUM,10.66,3.95,17.37
ai trading cryptocurrency,720,MEDIUM,10.66,3.95,17.37
pionex trading bot,590,LOW,8.15,0.05,16.24
best ai crypto trading bot,320,LOW,8.58,2.96,14.19
automated crypto trading,260,LOW,8.16,2.88,13.44
automated cryptocurrency trading,260,LOW,8.16,2.88,13.44
ai trading bots,6600,MEDIUM,7.19,2.81,11.58
crypto trading bot,1900,LOW,7.34,2.74,11.95
crypto bot trading,1900,LOW,7.34,2.74,11.95
cryptocurrency trading bot,1900,LOW,7.34,2.74,11.95
trading crypto bot,1900,LOW,7.34,2.74,11.95
bot for trading cryptocurrency,1900,LOW,7.34,2.74,11.95
trading bot for cryptocurrency,1900,LOW,7.34,2.74,11.95
best ai trading bot,1300,MEDIUM,7.87,2.54,13.2
automated trading bots,720,MEDIUM,6.47,2.64,10.29
best trading bot,390,MEDIUM,6.03,2.36,9.71
