<frozen runpy>:128: RuntimeWarning: 'phase6.core.phase6_runner' found in sys.modules after import of package 'phase6.core', but prior to execution of 'phase6.core.phase6_runner'; this may result in unpredictable behaviour
2026-05-19 18:52:54,633 [INFO] coinbase_wrapper_FIXED: ✅ CoinbaseWrapper initialized (LIVE)
2026-05-19 18:52:54,633 [INFO] coinbase_wrapper_FIXED:    API Key: organizations/281f24b2-9337-46cf-a107-29d6786cca02...
2026-05-19 18:52:54,633 [INFO] coinbase_wrapper_FIXED:    Private Key loaded: 227 chars
2026-05-19 18:52:54,634 [INFO] phase6.core.exchange_client: ✅ Live Coinbase client initialized (real trading enabled)
2026-05-19 18:52:54,651 [INFO] phase6.runner: State loaded: last_rebalance_date=2026-05-19
2026-05-19 18:52:54,651 [INFO] phase6.runner: Phase6Runner initialized | mode=live | shadow=False | rebalance_time=09:00
2026-05-19 18:52:54,651 [INFO] phase6.runner: Phase 6 runner starting...
2026-05-19 18:52:54,651 [INFO] phase6.runner: === Fresh Start Deployment ===
2026-05-19 18:52:54,965 [WARNING] phase6.runner: Insufficient cash for Fresh Start: $76.77
2026-05-19 18:52:54,965 [INFO] phase6.runner: [CYCLE 1] 2026-05-19T18:52:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 18:57:54,965 [INFO] phase6.runner: [CYCLE 2] 2026-05-19T18:57:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:02:54,981 [INFO] phase6.runner: [CYCLE 3] 2026-05-19T19:02:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:07:54,981 [INFO] phase6.runner: [CYCLE 4] 2026-05-19T19:07:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:12:54,981 [INFO] phase6.runner: [CYCLE 5] 2026-05-19T19:12:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:17:54,982 [INFO] phase6.runner: [CYCLE 6] 2026-05-19T19:17:54 | rebalance_needed=False | last_rebalance=2026-05-19
2026-05-19 19:22:54,982 [INFO] phase6.runner: [CYCLE 7] 2026-05-19T19:22:54 | rebalance_needed=False | last_rebalance=2026-05-19
